"(PDH-CSV 4.0) (GMT Daylight Time)(-60)","\\WILLS-DESKTOP\Memory\Available MBytes"
"04/24/2018 11:32:48.683","17264"
"04/24/2018 11:32:53.375","17233"
"04/24/2018 11:32:58.379","17198"
"04/24/2018 11:33:03.384","17165"
"04/24/2018 11:33:08.371","17132"
"04/24/2018 11:33:13.377","17100"
"04/24/2018 11:33:18.388","17068"
"04/24/2018 11:33:29.058","16996"
"04/24/2018 11:33:33.376","16970"
"04/24/2018 11:33:38.381","16935"
"04/24/2018 11:33:43.382","16900"
"04/24/2018 11:33:48.380","16866"
"04/24/2018 11:33:53.374","16838"
"04/24/2018 11:33:58.385","16801"
"04/24/2018 11:34:03.385","16766"
"04/24/2018 11:34:14.184","16689"
"04/24/2018 11:34:18.381","16662"
"04/24/2018 11:34:23.385","16622"
"04/24/2018 11:34:28.375","16589"
"04/24/2018 11:34:33.379","16554"
"04/24/2018 11:34:38.385","16519"
"04/24/2018 11:34:48.620","16451"
"04/24/2018 11:34:53.375","16421"
"04/24/2018 11:34:58.386","16388"
"04/24/2018 11:35:03.380","16362"
"04/24/2018 11:35:08.376","16322"
"04/24/2018 11:35:13.386","16297"
"04/24/2018 11:35:18.380","16258"
"04/24/2018 11:35:23.380","16230"
"04/24/2018 11:35:33.746","16183"
"04/24/2018 11:35:38.382","16162"
"04/24/2018 11:35:43.372","16143"
"04/24/2018 11:35:48.382","16147"
"04/24/2018 11:35:53.372","16140"
"04/24/2018 11:35:58.380","16112"
"04/24/2018 11:36:08.183","16051"
"04/24/2018 11:36:08.377","16048"
"04/24/2018 11:36:13.382","16019"
"04/24/2018 11:36:18.371","15992"
"04/24/2018 11:36:23.377","15962"
"04/24/2018 11:36:28.383","15933"
"04/24/2018 11:36:33.379","15901"
"04/24/2018 11:36:43.809","15837"
"04/24/2018 11:36:48.382","15802"
"04/24/2018 11:36:53.377","15767"
"04/24/2018 11:36:58.383","15737"
"04/24/2018 11:37:03.378","15700"
"04/24/2018 11:37:08.374","15667"
"04/24/2018 11:37:13.385","15635"
"04/24/2018 11:37:24.184","15564"
"04/24/2018 11:37:28.382","15533"
